Source,Sentence
Hemingway,My money was wet but was all right.
Hemingway,I counted it.
Hemingway,There were three thousand and some lire.
Hemingway,My clothes felt wet and clammy and I slapped my arms to keep the circulation going.
Hemingway,I had wovenunderwear and I did not think I would catch cold if I kept moving.
Hemingway,They had taken my pistol at the road and I put the holster under my coat.
Hemingway,I had no cape and it was cold in the rain.
Hemingway,I started up the bank of the canal.
Hemingway,"It was daylight and the country was wet, low and dismal looking."
Hemingway,The fields were bare and wet; a long way away I could see a campanile rising out of the plain.
Hemingway,I came up onto a road.
Hemingway,Ahead I saw some troops coming down the road.
Hemingway,I limped along the side of the road and they passed me and paid no attention to me.
Hemingway,They were a machine-gun detachment going up toward the river.
Hemingway,I went on down the road.
Hemingway,That day I crossed the Venetian plain.
Hemingway,It is a low level country and under the rain it is even flatter.
Hemingway,Toward the sea there are salt marshes and very few roads.
Hemingway,The roads all go along the river mouths to the sea and to cross the country you must go along the paths beside the canals.
Hemingway,I was working across the country from the north to the south and had crossed two railway lines and many roads and finally I came out at the end of a path onto a railway line where it ran beside a marsh.
Hemingway,"It was the main line from Venice to Trieste, with a high solid embankment, a solid roadbed and double track."
Hemingway,Down the tracks a way was a flag- station and I could see soldiers on guard.
Hemingway,Up the line there was a bridge over a stream that flowed into the marsh.
Hemingway,I could see a guard too at the bridge.
Hemingway,"Crossing the fields to the north I had seen a train pass on this railroad, visible a long way across the flat plain, and I thought a train might come from Portogruaro."
Hemingway,I watched the guards and lay down on the embankment so that I could see both ways along the track.
Hemingway,"The guard at the bridgewalked a way up the line toward where flay, then turned and went back toward the bridge."
Hemingway,"I lay, and was hungry, and waited for the train."
Hemingway,The one I had seen was so long that the engine moved it very slowly and I was sure I could get aboard it.
Hemingway,After I had almost given up hoping for one I saw a train coming.
Hemingway,"The engine, coming straight on, grew larger slowly."
Hemingway,I looked at the guard at the bridge.
Hemingway,He was walking on the near side of the bridge but on the other side of the tracks.
Hemingway,That would put him out of sight when the train passed.
Hemingway,I watched the engine come nearer.
Hemingway,It was working hard.
Hemingway,I could see there were many cars.
Hemingway,"I knew there would be guards on the train, and I tried to see where they were, but, keeping out of sight, I could not."
Hemingway,The engine was almost to where I was lying.
